Method,Trans. Freq. (λ̂),Total Var. (TV),Chatter (Ĉ),Avg Duration,Robustness D̂,Log-Like. (LL),Pred. Acc.,Self-Trans.,Silhouette,Davies-Bouldin
Fuzzy C-Means,0.15942028985507245,1.593739161916856e-08,48,6.229508196721311,4.472613558644927e-09,-1.3862943612762981,0.841897233201581,0.41972378075097105,-0.16638487456222598,2.806851414147602
Modified K-Means,0.1725955204216074,0.05323107281085301,53,5.757575757575758,0.5931139694945533,-1.1228253887139739,0.8287220026350461,0.6139417772691655,0.06355471624782812,2.4518945041185063
Vanilla K-Means,0.18181818181818182,0.06280501140157843,53,5.467625899280575,0.4762480179306004,-1.1103382117476088,0.8194993412384717,0.5814669585454806,0.04968978624216655,2.359011065582393
GMM,0.18840579710144928,0.3828488485809711,50,5.277777777777778,1.2253600594210012,-0.6245225328654426,0.8115942028985508,0.769809525821823,0.0006736921361889467,4.701856622453402
Markov-Switching,0.048748353096179184,0.10449029627566687,0,20.0,1.2253600594210012,-0.28939150168314254,0.9512516469038208,0.8765331290393155,0.02711565822943102,4.348542998080117
